100 13
0.0 1.65181e+04
0.5 1.65169e+04
1.0 1.65212e+04
1.5 1.65086e+04
2.0 1.64994e+04
2.5 1.64940e+04
3.0 1.64726e+04
3.5 1.64589e+04
4.0 1.64338e+04
4.5 1.64322e+04
5.0 1.63899e+04
5.5 1.63706e+04
6.0 1.63579e+04
0.0 1.63759e+04
0.5 1.63772e+04
1.0 1.63686e+04
1.5 1.63673e+04
2.0 1.63566e+04
2.5 1.63442e+04
3.0 1.63375e+04
3.5 1.63132e+04
4.0 1.62972e+04
4.5 1.62704e+04
5.0 1.62482e+04
5.5 1.62342e+04
6.0 1.62074e+04
0.0 1.65550e+04
0.5 1.65400e+04
1.0 1.65425e+04
1.5 1.65381e+04
2.0 1.65365e+04
2.5 1.65193e+04
3.0 1.65051e+04
3.5 1.65005e+04
4.0 1.64760e+04
4.5 1.64422e+04
5.0 1.64277e+04
5.5 1.63944e+04
6.0 1.63836e+04
0.0 1.64543e+04
0.5 1.64467e+04
1.0 1.64570e+04
1.5 1.64392e+04
2.0 1.64552e+04
2.5 1.64365e+04
3.0 1.64188e+04
3.5 1.64046e+04
4.0 1.63807e+04
4.5 1.63606e+04
5.0 1.63376e+04
5.5 1.63226e+04
6.0 1.62944e+04
0.0 1.63757e+04
0.5 1.63765e+04
1.0 1.63783e+04
1.5 1.63641e+04
2.0 1.63513e+04
2.5 1.63431e+04
3.0 1.63266e+04
3.5 1.63124e+04
4.0 1.62993e+04
4.5 1.62787e+04
5.0 1.62499e+04
5.5 1.62237e+04
6.0 1.62003e+04
0.0 1.62802e+04
0.5 1.62865e+04
1.0 1.62833e+04
1.5 1.62751e+04
2.0 1.62646e+04
2.5 1.62533e+04
3.0 1.62557e+04
3.5 1.62286e+04
4.0 1.62193e+04
4.5 1.61894e+04
5.0 1.61716e+04
5.5 1.61246e+04
6.0 1.61027e+04
0.0 1.62821e+04
0.5 1.62872e+04
1.0 1.62842e+04
1.5 1.62704e+04
2.0 1.62676e+04
2.5 1.62589e+04
3.0 1.62448e+04
3.5 1.62316e+04
4.0 1.62080e+04
4.5 1.61840e+04
5.0 1.61683e+04
5.5 1.61391e+04
6.0 1.61153e+04
0.0 1.63089e+04
0.5 1.63195e+04
1.0 1.63134e+04
1.5 1.62953e+04
2.0 1.62976e+04
2.5 1.62842e+04
3.0 1.62680e+04
3.5 1.62481e+04
4.0 1.62330e+04
4.5 1.62138e+04
5.0 1.61934e+04
5.5 1.61709e+04
6.0 1.61434e+04
0.0 1.63689e+04
0.5 1.63662e+04
